learning_rate,validation_mae_mean,validation_rmse_mean,validation_rmse_std,train_rmse_mean,initial_validation_rmse_mean
0.001,0.1658941370374083,0.19500377781906456,0.01596433352075342,0.19525663206123237,0.3705671618422697
0.005,0.10002036861100287,0.1250535649469644,0.0053799759941739285,0.1250744902994888,0.3705671618422697
0.01,0.0867587866156968,0.11225282271991177,0.0013194181388878601,0.1121378052838576,0.3705671618422697
0.025,0.07846739123870054,0.10561238053980578,0.0007930391287761174,0.10541850579429271,0.3705671618422697
0.05,0.07686331991281178,0.10488060873817795,0.0010165485374604851,0.10467572019730709,0.3705671618422697
0.1,0.07659783806306279,0.10484826417956095,0.0010624462219687456,0.10464408412583884,0.3705671618422697
0.2,0.07658656283131085,0.10484968420548654,0.0010641217538792161,0.10464407817095303,0.3705671618422697
