learning_rate,fold,initial_train_rmse,initial_validation_rmse,final_train_mae,final_train_rmse,final_validation_mae,final_validation_rmse
0.001,1,0.38688092036050487,0.38505542057668585,0.16614477216563872,0.1964173661442889,0.1648769627447723,0.19469782505622008
0.001,2,0.3772120383695319,0.3794207801185593,0.18323816826474135,0.22048963317190232,0.18383513559532388,0.22016758175641532
0.001,3,0.35305854510097284,0.3540284897229941,0.16663235782482896,0.193538142182903,0.16943027093938817,0.19543625789640162
0.001,4,0.4123780988064043,0.4077371497885997,0.16203901261758777,0.1888580154191598,0.1603692241073979,0.1881093372311536
0.001,5,0.32134711574464625,0.3265939690045095,0.15084743762214334,0.17698000338790779,0.15095909180015923,0.17660788715513215
0.005,1,0.38688092036050487,0.38505542057668585,0.09917713534023047,0.12395927463954817,0.09899006510795308,0.12438580414398177
0.005,2,0.3772120383695319,0.3794207801185593,0.1070765914207772,0.13406831378086503,0.10782269894163263,0.13312919141755974
0.005,3,0.35305854510097284,0.3540284897229941,0.10184237895444176,0.1269877774457662,0.10356475897271299,0.12718845146931004
0.005,4,0.4123780988064043,0.4077371497885997,0.0956853086070935,0.11997221688127231,0.0960406525147353,0.12039425862088012
0.005,5,0.32134711574464625,0.3265939690045095,0.09580069225444304,0.12038486874999231,0.09368366751798043,0.12017011908309032
0.01,1,0.38688092036050487,0.38505542057668585,0.08610592854611374,0.11130216762740786,0.08652523265415461,0.11248872696706336
0.01,2,0.3772120383695319,0.3794207801185593,0.08918443976185207,0.1149396917904681,0.08941326630166561,0.11367190772115628
0.01,3,0.35305854510097284,0.3540284897229941,0.08767532274491927,0.1133545487646602,0.08943344738191307,0.1133276916389752
0.01,4,0.4123780988064043,0.4077371497885997,0.08479458257110638,0.11027438298365898,0.08504843504368163,0.1109672593905501
0.01,5,0.32134711574464625,0.3265939690045095,0.08535740050234758,0.11081823525309285,0.0833735516970691,0.11080852788181397
0.025,1,0.38688092036050487,0.38505542057668585,0.07815941226769059,0.10492499109311933,0.07860933673505843,0.10686006415417273
0.025,2,0.3772120383695319,0.3794207801185593,0.07863341373035375,0.10575865796130439,0.07853100325008616,0.10480289217652428
0.025,3,0.35305854510097284,0.3540284897229941,0.0785797740983695,0.10586119789989003,0.08011728375245131,0.10519846819089848
0.025,4,0.4123780988064043,0.4077371497885997,0.07792943363953736,0.10519993747344718,0.07842599699012982,0.10585718282281513
0.025,5,0.32134711574464625,0.3265939690045095,0.07835055573718883,0.10534774454370263,0.076653335465777,0.10534329535461821
0.05,1,0.38688092036050487,0.38505542057668585,0.07664099432763428,0.10424352680539649,0.0772964949499723,0.10648259066583954
0.05,2,0.3772120383695319,0.3794207801185593,0.0767881621770164,0.10485736405002022,0.07667006907993784,0.10412597472863055
0.05,3,0.35305854510097284,0.3540284897229941,0.07675106109546717,0.10494863617070926,0.07787205529245228,0.10393734153369336
0.05,4,0.4123780988064043,0.4077371497885997,0.07652021483787323,0.10460624661137012,0.07703758627065335,0.10515584778796129
0.05,5,0.32134711574464625,0.3265939690045095,0.07686928101258478,0.10472282734903937,0.07544039397104313,0.10470128897476501
0.1,1,0.38688092036050487,0.38505542057668585,0.07638907300311339,0.104216492675154,0.07711689869383002,0.10652628150052992
0.1,2,0.3772120383695319,0.3794207801185593,0.0765135240414475,0.1048228250452058,0.07638662818067514,0.10414470115092822
0.1,3,0.35305854510097284,0.3540284897229941,0.07645518828681609,0.10490416142592292,0.07741654579050723,0.1037943652270436
0.1,4,0.4123780988064043,0.4077371497885997,0.07628650023678188,0.10458022401222646,0.07680132732327151,0.10510078465865554
0.1,5,0.32134711574464625,0.3265939690045095,0.07662006602655598,0.10469671747068493,0.07526779032703006,0.10467518836064743
0.2,1,0.38688092036050487,0.38505542057668585,0.07637592631195865,0.10421645401330451,0.07710704216847512,0.10652975512740526
0.2,2,0.3772120383695319,0.3794207801185593,0.07650534561057705,0.10482281879506324,0.07637706572532768,0.1041456108980497
0.2,3,0.35305854510097284,0.3540284897229941,0.07644636205370277,0.10490411545746861,0.07740030415454835,0.10379122378562113
0.2,4,0.4123780988064043,0.4077371497885997,0.07627603708070518,0.10458018738829154,0.07679142396156387,0.10509987061031582
0.2,5,0.32134711574464625,0.3265939690045095,0.0766019569174394,0.1046968152006372,0.0752569781466392,0.10468196060604082
