learning_rate,fold,epoch,train_loss,train_rmse,validation_mae,validation_rmse
0.001,1,1,0.07442029346835766,0.3857986352188345,0.3176315614650756,0.38396663264104
0.001,1,2,0.07400283743389058,0.3847150567209206,0.316760891690028,0.3828766890215714
0.001,1,3,0.07358567385553076,0.3836291799525442,0.3158885446993249,0.3817845051859508
0.001,1,4,0.07316918901291303,0.3825419951140346,0.31501596684484484,0.38069112245445363
0.001,1,5,0.07275326738107417,0.38145318816618684,0.3141429628839116,0.3795961976779778
0.001,1,6,0.07233773441090348,0.3803622862769217,0.31326843273463895,0.3784992392485325
0.001,1,7,0.07192270025490283,0.3792695618024279,0.3123929528768853,0.3774005914014618
0.001,1,8,0.07150855069450336,0.3781760190559506,0.3115173116254682,0.376301174910479
0.001,1,9,0.07109500598427412,0.377080909048109,0.3106408271383589,0.3752002591239876
0.001,1,10,0.07068212129892235,0.3759843648316306,0.30976330223719734,0.374098011704625
0.001,1,11,0.07027033845107804,0.3748875523435742,0.3088856784593201,0.37299555871140316
0.001,1,12,0.06985912072445706,0.37378903334489916,0.3080067629398555,0.37189147161007285
0.001,1,13,0.06944839404405762,0.37268859398714527,0.3071264125572035,0.3707854862822419
0.001,1,14,0.06903918102854607,0.3715889692349494,0.30624681283199195,0.3696804271007458
0.001,1,15,0.06863095667076848,0.3704887492779463,0.305366793440139,0.36857479457324216
0.001,1,16,0.06822337008255046,0.36938697887865635,0.3044855846256782,0.36746766894698646
0.001,1,17,0.06781715263238214,0.368285630000363,0.3036047180219808,0.36636095793400303
0.001,1,18,0.0674121107586286,0.36718417928507924,0.3027238298218906,0.3652542322329641
0.001,1,19,0.06700826968777514,0.3660826947228594,0.3018435140182067,0.3641474704597466
0.001,1,20,0.06660581424388069,0.36498168240031087,0.3009639207966002,0.36304119043034955
0.001,1,21,0.06620431057789754,0.36387995431982106,0.3000838996926745,0.3619341572841137
0.001,1,22,0.0658044690799968,0.3627794621529637,0.2992052375132984,0.36082841096394486
0.001,1,23,0.06540609029333447,0.3616796657080253,0.29832717124817376,0.35972340273682535
0.001,1,24,0.06500925272400492,0.36058078907231017,0.29744979316166725,0.3586192806058872
0.001,1,25,0.06461354393268703,0.3594816933661213,0.29657213346325456,0.3575148769696042
0.001,1,26,0.06421937760821526,0.35838353089453,0.29569517455226707,0.35641144892981624
0.001,1,27,0.06382688696189492,0.3572866831044642,0.2948201413059295,0.3553092994093548
0.001,1,28,0.06343587675431725,0.35619061400973845,0.29394640307426234,0.3542078676695042
0.001,1,29,0.06304628883012196,0.3550951670471508,0.29307344641104954,0.35310698383676625
0.001,1,30,0.06265896023004766,0.3540027125038667,0.29220268406733885,0.35200908224570654
0.001,1,31,0.062272971914586396,0.3529106740085553,0.2913321455075721,0.35091155640328875
0.001,1,32,0.06188882538272195,0.35182048087830803,0.2904643565910526,0.34981580107514637
0.001,1,33,0.061506701004451866,0.3507326645878649,0.2896007041283447,0.3487223808661236
0.001,1,34,0.06112640595552399,0.34964669583888247,0.2887389385314952,0.3476307662717177
0.001,1,35,0.060747765778542566,0.34856209139418065,0.287878435980783,0.34654047082097944
0.001,1,36,0.06037088955122467,0.34747917794085065,0.28702051312442395,0.34545177825290974
0.001,1,37,0.05999615332201112,0.3463990569329285,0.2861648528850812,0.34436584493153405
0.001,1,38,0.05962356856394181,0.34532178779782147,0.285311699783539,0.34328270259818805
0.001,1,39,0.05925276975529387,0.34424633550785655,0.284459726886689,0.3422013197516567
0.001,1,40,0.0588837750505628,0.34317277004611774,0.28360892762039125,0.3411217081428039
0.001,1,41,0.05851703011219691,0.3421024118950257,0.2827603583200966,0.3400452746690638
0.001,1,42,0.058152623402169715,0.34103555064588126,0.28191423443808256,0.33897228357681136
0.001,1,43,0.057790108458842554,0.3399709059870934,0.28106954088434766,0.3379014737283207
0.001,1,44,0.05742958631364937,0.33890879691636616,0.28022653807679104,0.3368331445674397
0.001,1,45,0.057070918084689004,0.3378488362705694,0.2793848897994076,0.3357668467950369
0.001,1,46,0.05671464164859107,0.33679264139405146,0.2785477200218979,0.3347043109332684
0.001,1,47,0.056360884939035336,0.33574062887602785,0.2777140334594705,0.3336459291027158
0.001,1,48,0.05600914731638784,0.3346913423331648,0.27688211982244404,0.33259022259991367
0.001,1,49,0.055659797210647385,0.33364591174071767,0.2760529121914339,0.3315383611096786
0.001,1,50,0.055312650439422725,0.3326038196997224,0.27522715635493294,0.33048979468206985
0.001,1,51,0.05496778775586688,0.33156534124020526,0.27440420901801643,0.32944482062290437
0.001,1,52,0.054625215382653344,0.33053052924851994,0.27358449696387027,0.3284034714142851
0.001,1,53,0.054284947627401645,0.3294994616912193,0.2727677199550418,0.32736587101101583
0.001,1,54,0.05394700063059036,0.3284722229674539,0.2719535696425936,0.326332064175868
0.001,1,55,0.05361144750468734,0.327449072390463,0.2711430124139978,0.3253023500615551
0.001,1,56,0.053278241312609935,0.3264299046123377,0.2703354034911278,0.3242766275507088
0.001,1,57,0.05294716849359617,0.32541410078113137,0.2695299991074961,0.32325423503696543
0.001,1,58,0.05261850996896846,0.32440255846391985,0.2687289507726706,0.3222361479119581
0.001,1,59,0.052292307914398505,0.32339544806443554,0.2679318273627194,0.32122247151524935
0.001,1,60,0.051968499909755765,0.3223926175015668,0.2671377392295838,0.32021312523196477
0.001,1,61,0.05164695113323616,0.3213936873469551,0.26634673475938153,0.31920771508420726
0.001,1,62,0.05132782668533286,0.32039920937896477,0.2655599092488703,0.3182068010514133
0.001,1,63,0.05101123953262614,0.3194095788564461,0.26477641506765104,0.31721075437638957
0.001,1,64,0.050696967561925814,0.3184241434374153,0.2639957607834818,0.3162189775148934
0.001,1,65,0.05038506670688075,0.31744311839093553,0.26321806755080707,0.3152316145598693
0.001,1,66,0.05007541807884545,0.31646616905712194,0.26244312848762363,0.31424837836955133
0.001,1,67,0.04976843344742643,0.3154946384565875,0.2616720013195764,0.3132706741560773
0.001,1,68,0.049463586799757535,0.31452690441282616,0.26090347676778125,0.31229679038985575
0.001,1,69,0.04916113987830524,0.3135638368125548,0.26013860775026526,0.31132766553238617
0.001,1,70,0.04886114143420868,0.31260563473555203,0.25937704760932556,0.3103634824256561
0.001,1,71,0.048563620773307094,0.3116524370939752,0.2586192912296702,0.30940436845045527
0.001,1,72,0.04826881237262683,0.3107050446086347,0.2578658801833516,0.3084511804054139
0.001,1,73,0.04797609959304057,0.3097615198601678,0.2571150014718857,0.3075019447261388
0.001,1,74,0.047685685007860266,0.30882255425360455,0.2563672126399102,0.30655733712030114
0.001,1,75,0.047397875711763106,0.3078891869220584,0.2556233595891202,0.30561844423376383
0.001,1,76,0.04711241959094148,0.3069606476111929,0.2548837172260032,0.3046844972256243
0.001,1,77,0.04682929808346059,0.3060369196141557,0.2541485609367063,0.30375543500844326
0.001,1,78,0.046548715820739245,0.305118717291284,0.25341730810805957,0.3028320517878664
0.001,1,79,0.04627021393182087,0.3042045822528677,0.25268886491871223,0.3019128505022
0.001,1,80,0.04599433873987574,0.3032963525658551,0.2519653139236292,0.30099967778985703
0.001,1,81,0.04572080451139793,0.3023931365338768,0.251245568789921,0.3000916476678183
0.001,1,82,0.045449594410356564,0.30149492337469486,0.2505295427967033,0.29918874004978074
0.001,1,83,0.04518079010457225,0.30060202961581034,0.24981717584397628,0.2982912638183039
0.001,1,84,0.04491418869905489,0.2997138258374308,0.24910806904256383,0.2973986236592919
0.001,1,85,0.04464998508350843,0.29883100603353874,0.24840265284018778,0.2965114916650586
