fold,initialization,epoch,train_loss,train_rmse,validation_mae,validation_rmse
1,random,1,0.05529882911834779,0.332562262195661,0.2751941766572916,0.3304494173320185
1,random,2,0.04090402070071659,0.28602105062640615,0.2381492454646746,0.2836529529291916
1,random,3,0.031719793620085375,0.25187216448065625,0.2107275162579161,0.24954397743310566
1,random,4,0.025890366711139458,0.2275538033570938,0.19093894602226769,0.22541476025713233
1,random,5,0.021998774741161634,0.20975592836037618,0.17615879529220213,0.20783203778951104
1,random,6,0.01926779771406857,0.1963048532974596,0.16476850538632887,0.19458703044556927
1,random,7,0.017262544856131795,0.1858092831703077,0.15571091091035827,0.18428293454830716
1,random,8,0.01573526830803158,0.17739937039364925,0.14834685798148678,0.17604728918142218
1,random,9,0.014536875334305326,0.1705102655813152,0.14222460516599816,0.16931719942158024
1,random,10,0.013573025627426707,0.1647605876866595,0.13702237904234796,0.16371142454090168
1,random,11,0.012781536173947576,0.15988455944178961,0.1325756655509997,0.15896659450219497
1,random,12,0.012119992379553293,0.15569195470256833,0.12871904727025846,0.15489371485268447
1,random,13,0.0115580609734576,0.15203986959648183,0.12534523429910466,0.15135289126340504
1,random,14,0.011075039894819623,0.14882902871966627,0.1223743947798165,0.1482443056458374
1,random,15,0.010655493853239174,0.14598283360203126,0.11976251980172643,0.14549242775767654
1,random,16,0.010287369675508754,0.14343897430969557,0.1174163051229759,0.14303701440244662
1,random,17,0.009961863824431103,0.14115143516401882,0.1153082262083493,0.14083234324346872
1,random,18,0.009672031527399991,0.1390829358864702,0.11338952098794858,0.13884157345354847
1,random,19,0.009411951206539291,0.13720022745272176,0.1116360775612092,0.13703201324482314
1,random,20,0.009177498405327628,0.13548061415071624,0.1100336595894121,0.1353812036920349
1,random,21,0.008964841596870323,0.13390176695525957,0.10855246024076355,0.13386751697676622
1,random,22,0.008771393353616123,0.13244918537776004,0.10717591113341589,0.13247654249658652
1,random,23,0.008594379198220025,0.13110590526913748,0.1058900340619306,0.13119206205920736
1,random,24,0.008431803100408032,0.1298599484091075,0.10468366344659419,0.13000188693038878
1,random,25,0.008282085278200102,0.12870186694994057,0.10356089036549787,0.12889714664208832
1,random,26,0.00814361098827275,0.1276214009347394,0.10251772156667557,0.12786759912330348
1,random,27,0.008015420604710229,0.1266129582997746,0.10154534257778719,0.12690743587078696
1,random,28,0.00789610537884017,0.1256670631378021,0.10063241917651654,0.12600788647000657
1,random,29,0.007784996360090822,0.12477977688785008,0.09977353760264418,0.12516423742514668
1,random,30,0.007681379427950216,0.12394659679031302,0.09896839548628637,0.12437313822100551
1,random,31,0.007584274787974228,0.123160665701142,0.09820633295762882,0.12362798265341932
1,random,32,0.00749318759311317,0.12241885143320999,0.0974858020300919,0.12292498357380584
1,random,33,0.007407608913587922,0.12171777942098616,0.09680139607293826,0.12226116896106314
1,random,34,0.007327064501902781,0.12105423992494257,0.0961526231815155,0.1216330924361618
1,random,35,0.0072511568121054635,0.12042555220637739,0.09554859770172734,0.12103915930248928
1,random,36,0.007179456792089541,0.11982868431297693,0.09497712317539364,0.12047553793517646
1,random,37,0.007111663550587939,0.1192615910558629,0.0944333808565812,0.11994062010467332
1,random,38,0.007047527969816304,0.11872260079543662,0.09391445757628669,0.11943209367468312
1,random,39,0.006986722088469892,0.11820932356180618,0.0934210828289652,0.11894822615230392
1,random,40,0.0069290078006491364,0.11772007306019765,0.09295322484973413,0.11848757311319422
1,random,41,0.006874168183951469,0.11725330002990507,0.09251098610127002,0.1180485453680892
1,random,42,0.006822053725482275,0.116807993951461,0.09208391129269713,0.11762963265047109
1,random,43,0.006772436620907669,0.11638244387284251,0.09167976295577644,0.11722952463020832
1,random,44,0.0067251386370041225,0.11597533045440415,0.09129138287045677,0.11684706909964718
1,random,45,0.006680067184665534,0.11558604746824362,0.09091875097104128,0.11648214314586117
1,random,46,0.006636907532754057,0.11521204392557279,0.0905610001212076,0.1161319446346908
1,random,47,0.006595746996422027,0.11485422932066565,0.09021364386294839,0.1157964851253693
1,random,48,0.006556380326919235,0.11451096302904133,0.08987671655633653,0.11547536637944837
1,random,49,0.006518796486570277,0.11418227959337891,0.08955053919759126,0.11516797679722905
1,random,50,0.006482795555757098,0.11386654957235771,0.08923332620598896,0.11487278791179535
1,random,51,0.006448304179102335,0.11356323506401475,0.0889269517644636,0.11458966534321785
1,random,52,0.00641521956011994,0.11327152828597255,0.08862892677050527,0.11431793210491475
1,random,53,0.006383500884834754,0.11299115792693475,0.08833708894918814,0.11405661637160769
