best_fitness,cpu_seconds,elapsed_seconds,fitness.metric,generations,run,seed,termination_reason
0.9805839550893887,19.3125,19.37709399999585,mse,300,0,20260901,max-generations
0.9828007970191753,19.578125,19.65241260000039,mse,300,1,20260902,max-generations
0.9804389030811467,19.3125,19.347804999910295,mse,300,2,20260903,max-generations
0.9802413078052913,18.921875,19.012474699993618,mse,300,3,20260904,max-generations
0.9805668323931901,18.78125,18.86225799995009,mse,300,4,20260905,max-generations
0.9804522477242607,33.0625,33.099669500021264,regional,300,5,20260901,max-generations
0.9810046125118086,31.921875,31.94349669991061,regional,300,6,20260902,max-generations
0.9803494947473758,32.71875,32.803817600011826,regional,300,7,20260903,max-generations
0.9811173130853148,35.015625,35.099174400093034,regional,300,8,20260904,max-generations
0.9773865399184516,32.421875,32.49126380006783,regional,300,9,20260905,max-generations
0.9902263693276023,26.5,26.606224499992095,blur,300,10,20260901,max-generations
0.9896080111540634,25.578125,25.600518299965188,blur,300,11,20260902,max-generations
0.9893643858431853,26.65625,26.748040099977516,blur,300,12,20260903,max-generations
0.988650647625012,24.71875,24.783376900013536,blur,300,13,20260904,max-generations
0.9878204099309761,26.328125,26.383960100007243,blur,300,14,20260905,max-generations
0.9836761746033177,26.34375,26.420585799962282,multiscale,300,15,20260901,max-generations
0.9846303107703968,26.9375,26.948345600045286,multiscale,300,16,20260902,max-generations
0.9791310377168637,27.4375,27.514311800012365,multiscale,300,17,20260903,max-generations
0.9803482434640522,26.421875,26.503485099994577,multiscale,300,18,20260904,max-generations
0.9844553980765611,25.640625,25.757423300063238,multiscale,300,19,20260905,max-generations
0.7165027924792307,55.765625,55.926579499966465,ssim,300,20,20260901,max-generations
0.7311135341213337,60.296875,60.52815499994904,ssim,300,21,20260902,max-generations
0.7246763854935956,58.984375,59.13023769995198,ssim,300,22,20260903,max-generations
0.7202714104567389,54.15625,54.28972600004636,ssim,300,23,20260904,max-generations
0.7351335318565302,56.109375,56.31920030002948,ssim,300,24,20260905,max-generations
0.8854036298962824,41.015625,41.06885499996133,histogram,300,25,20260901,max-generations
0.8928057050670116,45.578125,45.7768038000213,histogram,300,26,20260902,max-generations
0.8835169276194343,42.890625,43.00625109998509,histogram,300,27,20260903,max-generations
0.8935711342181094,45.109375,45.209356200066395,histogram,300,28,20260904,max-generations
0.8836505702220143,45.828125,45.97473080002237,histogram,300,29,20260905,max-generations
0.9957837514023483,28.921875,29.040037899976596,edge,300,30,20260901,max-generations
0.9959911092081938,28.109375,28.18179359997157,edge,300,31,20260902,max-generations
0.9961131076611441,27.375,27.414776499965228,edge,300,32,20260903,max-generations
0.9960313836881174,28.6875,28.788353799958713,edge,300,33,20260904,max-generations
0.9961257011786498,29.953125,30.069269599975087,edge,300,34,20260905,max-generations
0.8938011193983564,32.0625,32.15354109997861,gradient,300,35,20260901,max-generations
0.8970404113735813,31.6875,31.78760759998113,gradient,300,36,20260902,max-generations
0.8932736162983257,32.4375,32.46732440008782,gradient,300,37,20260903,max-generations
0.8922557475185704,34.296875,34.34109619993251,gradient,300,38,20260904,max-generations
0.8973796586657834,35.6875,35.772478099912405,gradient,300,39,20260905,max-generations
0.9948571910676932,49.328125,49.47550229995977,chamfer,300,40,20260901,max-generations
0.9950669142570607,50.28125,50.422696899971925,chamfer,300,41,20260902,max-generations
0.9952553929673832,48.984375,49.15303709998261,chamfer,300,42,20260903,max-generations
0.9951366350385169,48.9375,49.10655449994374,chamfer,300,43,20260904,max-generations
0.9951560334021975,48.21875,48.443840399966575,chamfer,300,44,20260905,max-generations
0.975119247853268,24.21875,24.26905799994711,saliency,300,45,20260901,max-generations
0.9773996193494352,23.296875,23.378806100110523,saliency,300,46,20260902,max-generations
0.9763484252731836,24.125,24.16416789998766,saliency,300,47,20260903,max-generations
0.9760446659691083,22.296875,22.35221060004551,saliency,300,48,20260904,max-generations
0.9750464248088736,22.140625,22.24559910001699,saliency,300,49,20260905,max-generations
0.9838522780304774,44.734375,44.893490099930204,combo,300,50,20260901,max-generations
0.9838463054563765,43.375,43.50377499999013,combo,300,51,20260902,max-generations
0.9848652066320922,44.28125,44.37962359993253,combo,300,52,20260903,max-generations
0.9831018379007677,43.21875,43.38847360003274,combo,300,53,20260904,max-generations
0.9815924313696998,44.734375,44.87576580001041,combo,300,54,20260905,max-generations
