epoch,loss,epoch_time
1,0.03600483929611629,0.01701869499811437
2,0.02910656722242408,0.015897357996436767
3,0.024329071758258707,0.014169478003168479
4,0.02093246255411738,0.010864230003789999
5,0.018437179392174964,0.011905200008186512
6,0.016550460700207312,0.015478361994610168
7,0.015082113755886434,0.01869420199363958
8,0.013910540481438163,0.01573689498763997
9,0.01295565726568997,0.014280495001003146
10,0.012167019002578324,0.01740681499359198
11,0.011502884343295732,0.02085693899425678
12,0.010938346779234727,0.011665548998280428
13,0.010454096960186685,0.010808234990690835
14,0.010035226401002836,0.01476785600243602
15,0.00966910537629929,0.01900123899395112
16,0.009347646317850742,0.020618997994461097
17,0.00906356834444452,0.015496549007366411
18,0.008810423667406782,0.02121231399360113
19,0.008584378612677017,0.011642929006484337
20,0.008381834753379301,0.00962679299118463
21,0.008198483335909067,0.011362432996975258
22,0.008032881660418932,0.010242556993034668
23,0.007881985138208248,0.011883758998010308
24,0.007744383585836238,0.021016797996708192
25,0.007618288259136913,0.014939621003577486
26,0.007502636914311567,0.01423229998908937
27,0.007395637720256299,0.010936345992377028
28,0.007296991604494177,0.009864074003417045
29,0.00720564716702283,0.009222793989465572
30,0.0071207516945350465,0.00853009001002647
31,0.007041898166711572,0.00714261899702251
32,0.006967914512333259,0.006943164000404067
33,0.006899041917693192,0.007422341004712507
34,0.006834448844228389,0.006829760997788981
35,0.006774039013880818,0.0071547630068380386
36,0.006717184462924267,0.006959595993976109
37,0.006663703624757641,0.011433495004894212
38,0.006613458465031356,0.011087565988418646
39,0.006565896732693579,0.012973178992979228
40,0.006520860718898465,0.013273614997160621
41,0.006478479299116915,0.01174811901000794
42,0.006438137784180186,0.008231536005041562
43,0.0063999133111745455,0.009505863999947906
44,0.006363666713104396,0.006948226990061812
45,0.00632933909837033,0.007563374005258083
46,0.006296561686745541,0.006901265005581081
47,0.006265213469875454,0.012468050001189113
48,0.006235468798368817,0.011429196005337872
49,0.006207265493693976,0.014455248005106114
50,0.006180343307502441,0.009474786987993866
51,0.006154457203592803,0.013828898998326622
52,0.00612978628602787,0.014901778995408677
53,0.006106150323011569,0.00966734100074973
54,0.006083654899077564,0.007703139999648556
55,0.006061996626495271,0.008526154007995501
56,0.006041326540239037,0.009357089002151042
57,0.006021495492113815,0.008707638990017585
58,0.006002550467957944,0.007225073000881821
59,0.005984346638215319,0.014963712994358502
60,0.005966830533416544,0.01219970200327225
61,0.005950105289706575,0.013597055993159302
62,0.00593401095548287,0.008060004998696968
63,0.005918564443871078,0.01369584100029897
64,0.005903722834205248,0.00955766199331265
65,0.005889419343402015,0.02085364400409162
66,0.005875727465661822,0.008553826992283575
67,0.005862543361030115,0.006951365998247638
68,0.005849858620813179,0.011297585006104782
69,0.0058376481203807964,0.008684864995302632
70,0.005825919087290271,0.011584623003727756
71,0.0058146469433646136,0.010510635009268299
72,0.005803793484481766,0.013271395990159363
73,0.005793327480076276,0.011724723997758701
74,0.005783205538316198,0.024979238005471416
75,0.005773467015130147,0.011924960999749601
76,0.005764041253483705,0.017202803006512113
77,0.005755021008905938,0.015401741009554826
78,0.005746211111919346,0.008071920994552784
79,0.005737722909705872,0.016690789998392574
80,0.005729561325986597,0.014471489004790783
81,0.005721694071446867,0.010743933991761878
82,0.005714104608813358,0.011120398994535208
83,0.0057067039301317525,0.021931769995717332
84,0.005699617472868549,0.016645170995616354
85,0.0056927737635351205,0.026308715998311527
86,0.005686221535524114,0.02338121199863963
87,0.005679836708766186,0.015875133001827635
88,0.005673668164536921,0.023526431003119797
89,0.005667769297162083,0.016573504006373696
90,0.005661989910010363,0.013641637997352518
91,0.005656411568328455,0.010552047999226488
92,0.005651077137299522,0.007766063004964963
93,0.005645921200250109,0.019104371007415466
94,0.005640896135323292,0.007377197995083407
95,0.00563602084624564,0.01401354900735896
96,0.005631302169215409,0.02281959399988409
97,0.0056267533982275,0.01656785499653779
98,0.005622349828534513,0.01340011099819094
99,0.005618087969329211,0.013398983006482013
100,0.005613920702767017,0.014994923010817729
101,0.005609905067436227,0.013243410008726642
102,0.005606029122175526,0.012739098994643427
103,0.0056022527035725755,0.015490806006710045
104,0.005598606803236648,0.01657803299895022
105,0.005595072795409455,0.013205488008679822
106,0.005591677609019136,0.020454628000152297
107,0.005588394727944252,0.018544437989476137
108,0.005585236922405547,0.013364452999667265
109,0.005582147203211775,0.011753758997656405
110,0.005579166029914294,0.0153874889947474
111,0.00557626439319337,0.011577709010452963
112,0.005573430936896403,0.01088132600125391
113,0.005570701611668398,0.00879370300390292
114,0.005568040590569472,0.009644707999541424
115,0.005565487571271222,0.01910423800291028
116,0.005562981642549939,0.018796923002810217
117,0.005560561672840752,0.01876663399161771
118,0.005558237256816982,0.013967184000648558
119,0.005555969575021633,0.009945307989255525
120,0.005553745135172698,0.011571244991500862
121,0.005551613918012021,0.010276870001689531
122,0.0055495329691818045,0.017350634996546432
123,0.005547523361932331,0.011143948999233544
124,0.005545556343176907,0.009883920996799134
125,0.005543668902170826,0.010639574989909306
126,0.005541818117949168,0.012593036008183844
127,0.005540056279880584,0.008073888995568268
128,0.005538328851918016,0.015123089993721806
129,0.00553665375759862,0.013195743988035247
130,0.005535025755195634,0.018600067007355392
131,0.005533437370122306,0.01859021300333552
132,0.005531886945165439,0.010671358002582565
133,0.005530404071097617,0.009353911998914555
134,0.005528931444147091,0.007709281999268569
135,0.005527532421367568,0.007281199999852106
136,0.005526163222709043,0.012754657000186853
137,0.005524850313082728,0.009430775011423975
138,0.0055235672208723795,0.0068238639942137524
139,0.005522310472362714,0.008459602002403699
140,0.005521079761446149,0.0087528660078533
141,0.005519881588247129,0.01291740698798094
142,0.005518725687053996,0.012634080994757824
143,0.0055175932854051556,0.009116045999689959
144,0.005516510999738039,0.014387839008122683
145,0.005515465495352307,0.01433731299766805
146,0.005514443060688088,0.014580361996195279
147,0.005513435200417077,0.024276081006973982
148,0.005512441334472497,0.01612196399946697
149,0.005511501163535835,0.016752270006691106
150,0.005510598637259199,0.018331992003368214
151,0.005509697370293105,0.013827831004164182
152,0.005508839184619078,0.00752982399717439
153,0.00550799734300005,0.015803807007614523
154,0.005507174491516649,0.010884453993639909
155,0.005506379310660242,0.010231331994873472
156,0.0055056026551949765,0.008707697998033836
157,0.005504862106776305,0.013415872992482036
158,0.005504122847115627,0.013001380997593515
159,0.005503402980251779,0.014874387008603662
160,0.005502702828361498,0.01482733000011649
161,0.005502037456114211,0.009473224999965169
162,0.0055013825053289184,0.016806596002425067
163,0.005500749476901579,0.012391622993163764
164,0.005500135820897403,0.006854382998426445
165,0.005499528143366853,0.012150313006713986
166,0.005498942480788128,0.010699146005208604
167,0.005498356273256479,0.012408663998940028
168,0.005497798788297178,0.017540695989737287
169,0.005497246908884002,0.008137276003253646
170,0.005496713449116831,0.007363594995695166
171,0.005496198359049959,0.007396740998956375
172,0.005495692279082915,0.010199840005952865
173,0.005495216602215701,0.012151759001426399
174,0.005494742666349161,0.008563315001083538
175,0.0054942944268391745,0.00949902601132635
176,0.005493852703928286,0.011521444990648888
177,0.0054934169295985935,0.009688614009064622
178,0.005492998359976353,0.014933765007299371
179,0.005492595915138765,0.01554933401348535
180,0.005492194385261471,0.01809365299413912
181,0.005491802358629986,0.016010282008210197
182,0.005491432407342378,0.020755873003508896
183,0.005491063174893041,0.015992924993042834
184,0.005490716210439425,0.020453428995097056
185,0.005490371711884104,0.017884903005324304
186,0.00549003111981395,0.020972918995539658
187,0.00548969869706251,0.023965460000908934
188,0.005489381681655891,0.016088211996247992
189,0.005489063859265955,0.01743089700175915
190,0.005488761086402939,0.018284908990608528
191,0.00548846901163457,0.024476859995047562
192,0.005488189766871229,0.025169603992253542
193,0.005487907305324984,0.016297171008773148
194,0.005487633299152994,0.01621011800307315
195,0.005487369701729493,0.011823758992250077
196,0.00548710661416464,0.012366808994556777
197,0.0054868545310976895,0.012837654998293146
198,0.005486607724014388,0.014034834995982237
199,0.005486363192703692,0.014052262995392084
200,0.0054861330655038626,0.008225525001762435
201,0.005485910023722174,0.012253570996108465
202,0.005485690439605243,0.007875884999521077
203,0.005485479381149856,0.019220333997509442
204,0.0054852708067716395,0.019908175003365614
205,0.005485066408079185,0.016741947998525575
206,0.00548486848832694,0.018280182994203642
207,0.0054846786261789435,0.01332545500190463
208,0.005484490079664306,0.014026888005901128
209,0.005484308596543603,0.01692815200658515
210,0.005484132152033767,0.014264142999309115
211,0.005483957622466039,0.016087356008938514
212,0.00548377958259254,0.018989265998243354
213,0.005483613742570455,0.011974658991675824
214,0.00548345623659285,0.019535218001692556
215,0.0054832996387303426,0.01948874699883163
216,0.005483145982436591,0.016210519999731332
217,0.005482999472874625,0.010576465996564366
218,0.005482858169258889,0.008927118993597105
219,0.005482726853853276,0.008528229998773895
220,0.005482589489878463,0.009550142000080086
221,0.005482458825378696,0.014327555996715091
222,0.005482329463940073,0.011675493995426223
223,0.005482199899265695,0.01332483500300441
224,0.005482072465127303,0.010446444008266553
225,0.00548195502392274,0.012272195002879016
226,0.005481843690416039,0.013597516997833736
227,0.005481730879817869,0.014387272007297724
228,0.005481624600149216,0.0073544540064176545
229,0.005481512989089695,0.009553948999382555
230,0.00548140902008223,0.007729772987659089
231,0.005481308683474416,0.007319541007746011
232,0.005481211029564149,0.012043376991641708
233,0.005481115029541184,0.013386626000283286
234,0.005481016840660974,0.008013579994440079
235,0.005480919819376752,0.012960050997207873
236,0.005480829472514578,0.0160147050046362
237,0.005480740815205375,0.015221706999000162
238,0.005480653728206017,0.01643420300388243
239,0.005480569665138648,0.014738329002284445
240,0.005480490730169479,0.020266442996216938
241,0.005480412307643328,0.016348667006241158
242,0.005480338356755958,0.014926862000720575
243,0.005480260284560589,0.018516325988457538
244,0.005480188337945603,0.01972587099589873
245,0.005480112380009282,0.019162996002705768
246,0.005480044546280819,0.015530764998402447
247,0.005479973848411593,0.013371576002100483
248,0.005479908627076302,0.00837870899704285
249,0.005479840117247824,0.010290329999406822
250,0.005479780586331972,0.015043258012156002
251,0.00547972435826288,0.011519645995576866
252,0.005479665305057832,0.009079019000637345
253,0.005479604723074701,0.010405923007056117
254,0.005479551728755293,0.015313316995161586
255,0.005479500295385391,0.014823128993157297
256,0.005479450628923164,0.009660408002673648
257,0.005479395074782682,0.012703981992672198
258,0.005479345133759546,0.010172934009460732
259,0.005479293599537122,0.010264351993100718
260,0.005479244286660984,0.009279421996325254
261,0.005479195326856698,0.012778726988472044
262,0.005479152958878391,0.01830859700567089
263,0.005479109526946439,0.017117483002948575
264,0.005479064907438328,0.018717476006713696
265,0.005479021651474454,0.009641436001402326
266,0.005478978820063489,0.011855525997816585
267,0.0054789395751186735,0.018272646993864328
268,0.005478898960750157,0.014411898009711877
269,0.005478862864068066,0.015710603998741135
270,0.005478824507912933,0.01264829000865575
271,0.0054787893674239484,0.008483871002681553
272,0.005478755367733777,0.012127341004088521
273,0.0054787198517637714,0.011556865996681154
274,0.005478688315834952,0.012995444994885474
275,0.005478657021471793,0.012179237994132563
276,0.005478622316345826,0.010216568000032566
277,0.005478592281298537,0.007440464003593661
278,0.005478558640994636,0.01120296299632173
279,0.005478528942562428,0.008399825004744343
280,0.005478497638263919,0.012732884002616629
281,0.0054784676457475786,0.012013431987725198
282,0.005478440480791317,0.015679137999541126
283,0.0054784127909042754,0.007575979994726367
284,0.005478387734918719,0.00844351400155574
285,0.005478360367662884,0.011345486011123285
286,0.005478333429531568,0.007604031998198479
287,0.005478310650637231,0.00864772399654612
288,0.005478287942988218,0.0071213479968719184
289,0.00547826390318497,0.011217022009077482
290,0.0054782403566859764,0.009629106003558263
291,0.005478220214483321,0.011615291994530708
292,0.005478198552473822,0.01910084398696199
293,0.00547817881256302,0.013733127998420969
294,0.005478158582524108,0.014380420005181804
295,0.005478138760592458,0.01921575599408243
296,0.005478119554557827,0.013223066998762079
297,0.005478103096835823,0.015258318991982378
298,0.0054780857808798405,0.01446669599681627
299,0.005478067036941809,0.01485007100563962
300,0.005478048118662422,0.013806222006678581
301,0.00547803379572485,0.00897438199899625
302,0.005478017261608448,0.009219124010996893
303,0.005478001450697716,0.0073035980021813884
304,0.00547798523985054,0.021306576003553346
305,0.005477970172312957,0.00934315999620594
306,0.005477955002039832,0.009520933002931997
307,0.005477940846059008,0.015089822001755238
308,0.005477927097004308,0.013870808004867285
309,0.0054779150559498705,0.009672551997937262
310,0.005477903694426961,0.012034201994538307
311,0.005477889250129834,0.01187215800746344
312,0.005477876668654473,0.008254439002485014
313,0.005477865117835218,0.011680918993079104
314,0.005477849796637756,0.014700971994898282
315,0.00547783742316185,0.009372928994707763
316,0.0054778270689166625,0.008661440995638259
317,0.005477814977928504,0.009307704996899702
318,0.005477805031663537,0.00861071000690572
319,0.005477795776768012,0.012678639992373064
320,0.005477784502463586,0.00855593298911117
321,0.005477774735881372,0.007521299994550645
322,0.005477765210148824,0.008557716995710507
323,0.00547775608048414,0.010590675999992527
324,0.00547774618514656,0.010779131000163034
325,0.005477734745772342,0.009585004998371005
326,0.005477724879652673,0.012680173997068778
327,0.005477716555323631,0.009229400006006472
328,0.005477707551916559,0.010429404996102676
329,0.005477699375200288,0.013653449001139961
330,0.005477692131500603,0.011117706992081366
331,0.005477684991791949,0.011990536993835121
