fold,epoch,train_loss,train_rmse,validation_mae,validation_rmse
5,1,0.03780619168675344,0.2749770597222737,0.23183337186771655,0.2761871794334557
5,2,0.031713430500251126,0.2518468999223581,0.21138400430753007,0.25208512443176834
5,3,0.02715278656135694,0.23303556192717428,0.19496422335733932,0.2327234444709967
5,4,0.02370911456568523,0.21775727113318274,0.1816817116214119,0.2171517381012864
5,5,0.021059475937927046,0.20522902298616075,0.1708420443190642,0.2044749326111325
5,6,0.018987789337544296,0.1948732374521668,0.16189766405744463,0.1940555273933029
5,7,0.017333773416444886,0.18619223086071496,0.15433124419266284,0.1853599371964138
5,8,0.01599057259606407,0.17883272964457078,0.14785695772668755,0.17801423679923487
5,9,0.014882223186924042,0.172523755969571,0.14222515655652163,0.1717348935950075
5,10,0.013953737006426204,0.16705530225901963,0.13734600339785494,0.16630420818023997
5,11,0.013166095171312838,0.16227196413005446,0.13309555755392058,0.16156076415955017
5,12,0.012491372116156267,0.15805930606045485,0.12931879436598206,0.1573890072234342
5,13,0.011907723260791736,0.15432254054927774,0.12592096184509954,0.1536919838474909
5,14,0.011397790573429857,0.1509820557114643,0.12285377663144044,0.150389007245227
5,15,0.010950030921269538,0.14798669481591606,0.12006662225677879,0.1474285719280076
5,16,0.010554131673049128,0.14528683128934383,0.11754533303430628,0.1447613195032965
5,17,0.010202007188541761,0.14284262101026962,0.11524030451383112,0.14234825284225924
5,18,0.009886754720891943,0.1406183111894887,0.11311858061846586,0.14015276866162263
5,19,0.009603355797930355,0.13858828087490194,0.11116981830545072,0.13814976002113025
5,20,0.009347851918941441,0.13673223408502796,0.10936458913888919,0.13631975387488032
5,21,0.009116307273079055,0.13502819907766714,0.1077046538375556,0.13463913214467432
5,22,0.00890577494969346,0.13345991869991125,0.10617267174181697,0.1330931760839214
5,23,0.00871355659168096,0.13201179183452486,0.10476228133485241,0.13166399085578057
5,24,0.008537628423558168,0.13067232624820121,0.10346506085247076,0.13034428387092445
5,25,0.008375921954978756,0.1294289145050576,0.10226553354794878,0.12911811871581685
5,26,0.008226989120463641,0.12827306124407917,0.10113713431586893,0.1279788061570902
5,27,0.008089815361916192,0.1271991773708949,0.10009521342206108,0.1269217558381796
5,28,0.007962784497156037,0.12619654905864927,0.09910798200624032,0.12593478681185466
5,29,0.007844900145075804,0.1252589329754633,0.09818953590425591,0.1250119971844751
5,30,0.007735451567728804,0.12438208526736319,0.09733906587092846,0.12414813167812795
5,31,0.007633300019230688,0.12355808366295334,0.09653622956079273,0.12333727496612823
5,32,0.007538038020997628,0.1227846734816494,0.0957757771840971,0.12257680506872844
5,33,0.007448764517253032,0.12205543426863903,0.09505893231878193,0.12186061570903615
5,34,0.007365241009160167,0.12136919715611673,0.09438211158268273,0.12118569945643974
5,35,0.00728683484549411,0.12072145497378757,0.09374145687028605,0.12054900943981857
5,36,0.007213103788406713,0.12010914859748789,0.09313769877377619,0.11994707847569519
5,37,0.007143554083471424,0.11952869181473898,0.09256691125194093,0.11937491015292133
