epoch,linear_train_rmse,sigmoid_train_rmse_full,sigmoid_train_rmse_cv,sigmoid_validation_mae,sigmoid_validation_rmse,sigmoid_validation_rmse_std,train_validation_rmse_gap
10,0.16163469839262423,0.15599371142823867,0.1669767458036607,0.13780730442338845,0.16703521756718462,0.0016304999548450586,5.8471763523915143e-05
25,0.16166813725048299,0.12343652829804393,0.12957835653568944,0.10439916598500738,0.12968369752425626,0.0009359218878179964,0.00010534098856683771
50,0.16166617683660425,0.11117862481162824,0.11424740375437085,0.08921569478792073,0.11440308862785395,0.0008255841071651608,0.0001556848734831029
100,0.1616977758264207,0.1059615090753902,0.1070575481431002,0.08085628885347587,0.1072513070256923,0.0008098016420045733,0.00019375888259209884
200,0.16166311025653687,0.10474858534131905,0.10489029442584201,0.07747020888478856,0.10509709284277466,0.0009394886509640141,0.0002067984169326381
300,0.16168152371188738,0.10467137257781996,0.1046745901966643,0.07685698851458175,0.1048807318486874,0.0010200111002364165,0.0002061416520230952
600,0.1617730172315476,0.1046650210105334,0.10464407456310545,0.07659735694416525,0.10484811432618643,0.0010626858059535373,0.0002040397630809987
1000,0.16166559445373405,0.10466502988285342,0.10464399870643984,0.0765846235209637,0.10484736442324394,0.0010649530629344138,0.00020336571680410197
